"one_key_id","region","city","specialty"
101,"LARACHE","Al Aouamra","Médecine Générale"
101,"LARACHE","Al Aouamra","Pharmacie"
101,"LARACHE","Larache","Administration"
101,"LARACHE","Larache","Anesthésie-Réanimation"
101,"LARACHE","Larache","Cardiologie"
101,"LARACHE","Larache","Chirurgie Dentaire"
101,"LARACHE","Larache","Chirurgie Générale"
101,"LARACHE","Larache","Dermatologie Vénéréologie"
101,"LARACHE","Larache","Endocrinologie"
101,"LARACHE","Larache","Gastro-Entérologie"
101,"LARACHE","Larache","Gynécologie"
101,"LARACHE","Larache","Infirmière"
101,"LARACHE","Larache","Médecine Générale"
101,"LARACHE","Larache","Medecine Interne"
101,"LARACHE","Larache","Néphrologie"
101,"LARACHE","Larache","Ophtalmologie"
101,"LARACHE","Larache","Oto-Rhino-Laryngologie"
101,"LARACHE","Larache","Pédiatrie"
101,"LARACHE","Larache","Pharmacie"
101,"LARACHE","Larache","Pharmacien Hospitalier"
101,"LARACHE","Larache","Pneumologie"
101,"LARACHE","Larache","Psychiatrie"
101,"LARACHE","Larache","Radiologie"
101,"LARACHE","Larache","Rhumatologie"
101,"LARACHE","Larache","Sage-Femme"
101,"LARACHE","Larache","Traumatologie"
101,"LARACHE","Larache","Urologie"
101,"LARACHE","Sidi Ali","Pharmacie"
101,"LARACHE","Zouada","Médecine Générale"
102,"TANGER/AZILA","Asilah","Anesthésie-Réanimation"
102,"TANGER/AZILA","Asilah","Chirurgie Dentaire"
102,"TANGER/AZILA","Asilah","Chirurgie Générale"
102,"TANGER/AZILA","Asilah","Médecine Générale"
102,"TANGER/AZILA","Asilah","Pharmacie"
102,"TANGER/AZILA","Asilah","Pharmacien Hospitalier"
102,"TANGER/AZILA","Bahraine Aouama","Pharmacie"
102,"TANGER/AZILA","Gzenaya","Cardiologie"
102,"TANGER/AZILA","Gzenaya","Médecine Générale"
102,"TANGER/AZILA","Gzenaya","Pharmacie"
102,"TANGER/AZILA","Gzenaya","Réanimation Médicale"
102,"TANGER/AZILA","Gzenaya","Sage-Femme"
102,"TANGER/AZILA","Gzenaya","Technicien en Pharmacie"
102,"TANGER/AZILA","Had Rharbia","Pharmacie"
102,"TANGER/AZILA","Ksar Seghir","Pharmacie"
102,"TANGER/AZILA","Sania El Jadida","Pharmacie"
102,"TANGER/AZILA","Tanger","Administration"
102,"TANGER/AZILA","Tanger","Anatomie Cyto Pathologie"
102,"TANGER/AZILA","Tanger","Anesthésie-Réanimation"
102,"TANGER/AZILA","Tanger","Biologie"
102,"TANGER/AZILA","Tanger","Carcinologie"
102,"TANGER/AZILA","Tanger","Cardiologie"
102,"TANGER/AZILA","Tanger","Chirurgie Carcinologique"
102,"TANGER/AZILA","Tanger","Chirurgie Dentaire"
102,"TANGER/AZILA","Tanger","Chirurgie Générale"
102,"TANGER/AZILA","Tanger","Chirurgie Pediatrique"
102,"TANGER/AZILA","Tanger","Chirurgie Plastique Réparatrice"
102,"TANGER/AZILA","Tanger","Dermatologie Vénéréologie"
102,"TANGER/AZILA","Tanger","Endocrinologie"
102,"TANGER/AZILA","Tanger","Gastro-Entérologie"
102,"TANGER/AZILA","Tanger","Gynécologie"
102,"TANGER/AZILA","Tanger","Hématologie"
102,"TANGER/AZILA","Tanger","Infirmière"
102,"TANGER/AZILA","Tanger","Maladies Infectieuses"
102,"TANGER/AZILA","Tanger","Médecine du Travail"
102,"TANGER/AZILA","Tanger","Médecine Esthétique"
102,"TANGER/AZILA","Tanger","Médecine Générale"
102,"TANGER/AZILA","Tanger","Medecine Interne"
102,"TANGER/AZILA","Tanger","Néphrologie"
102,"TANGER/AZILA","Tanger","Neuro Chirurgie"
102,"TANGER/AZILA","Tanger","Neurologie"
102,"TANGER/AZILA","Tanger","Ophtalmologie"
102,"TANGER/AZILA","Tanger","Orthodontie"
102,"TANGER/AZILA","Tanger","Oto-Rhino-Laryngologie"
102,"TANGER/AZILA","Tanger","Pédiatrie"
102,"TANGER/AZILA","Tanger","Pharmacie"
102,"TANGER/AZILA","Tanger","Pharmacien Hospitalier"
102,"TANGER/AZILA","Tanger","Pneumologie"
102,"TANGER/AZILA","Tanger","Psychiatrie"
102,"TANGER/AZILA","Tanger","Radiologie"
102,"TANGER/AZILA","Tanger","Radiothérapie"
102,"TANGER/AZILA","Tanger","Réanimation Médicale"
102,"TANGER/AZILA","Tanger","Rhumatologie"
102,"TANGER/AZILA","Tanger","Sage-Femme"
102,"TANGER/AZILA","Tanger","Traumatologie"
102,"TANGER/AZILA","Tanger","Urologie"
102,"TANGER/AZILA","Tanger",""
